id,vocab,vocab_pinyin,vocab_trans_vi,vocab_trans_en,example,example_pinyin,example_trans_vi,example_trans_en,level
1398,屏障,píngzhàng,"Hàng rào, tường chắn","Fences, retaining walls",树木形成了天然屏障。,Shùmù xíngchéng le tiānrán píngzhàng.,Cây cối tạo thành một rào chắn tự nhiên.,Trees form a natural barrier.,6
1399,坡,pō,"Dốc, sườn dốc","Slope, slope",他们从山坡上滑下来。,Tāmen cóng shānpō shàng huá xiàlái.,Họ trượt xuống từ sườn núi.,They slid down the mountainside.,6
1400,泼,pō,"Té, hắt","fall, sneeze",他把水泼在了地上。,Tā bǎ shuǐ pō zài le dìshàng.,Anh ấy hắt nước xuống đất.,He threw water on the ground.,6
1401,颇,pō,"Khá, hơi","Quite, somewhat",他的观点颇受争议。,Tā de guāndiǎn pō shòu zhēngyì.,Quan điểm của anh ấy khá gây tranh cãi.,His views are quite controversial.,6
1402,迫不及待,pòbùjídài,Không thể chờ được,Can't wait,我迫不及待地想告诉你这个好消息。,Wǒ pòbùjídài de xiǎng gàosù nǐ zhège hǎo xiāoxi.,Tôi không thể chờ đợi để kể cho bạn nghe tin tốt này.,I can't wait to tell you the good news.,6
1403,迫害,pòhài,"Bức hại, đàn áp","Persecution, repression",他因言论而受到迫害。,Tā yīn yánlùn ér shòudào pòhài.,Anh ấy bị đàn áp vì phát ngôn của mình.,He was persecuted for his speech.,6
1404,破例,pòlì,Phá lệ,Exception,这次我们破例允许他参加。,Zhè cì wǒmen pòlì yǔnxǔ tā cānjiā.,Lần này chúng tôi phá lệ cho phép anh ấy tham gia.,This time we made an exception and allowed him to participate.,6
1405,魄力,pòlì,"Quyết đoán, dũng khí","Decisive, courageous",她有很大的魄力。,Tā yǒu hěn dà de pòlì.,Cô ấy có sự quyết đoán lớn.,She has great determination.,6
1406,扑,pū,"Vồ, bổ nhào","Pounce, dive",他扑向了前面的敌人。,Tā pū xiàng le qiánmiàn de dírén.,Anh ấy lao về phía kẻ địch phía trước.,He charged towards the enemy in front.,6
1407,铺,pū,"Trải, bày",Spread,他们在地上铺了一张毯子。,Tāmen zài dìshàng pū le yī zhāng tǎnzi.,Họ trải một tấm thảm trên mặt đất.,They spread a carpet on the ground.,6
1408,普及,pǔjí,Phổ cập,Popular,这本书的内容很普及。,Zhè běn shū de nèiróng hěn pǔjí.,Nội dung của cuốn sách này rất phổ biến.,The content of this book is very popular.,6
1409,朴实,pǔshí,"Chất phác, giản dị","Simple, plain",他的生活非常朴实。,Tā de shēnghuó fēicháng pǔshí.,Cuộc sống của anh ấy rất giản dị.,His life is very simple.,6
1410,瀑布,pùbù,Thác nước,Waterfall,我们去了一个美丽的瀑布。,Wǒmen qù le yī gè měilì de pùbù.,Chúng tôi đã đến thăm một thác nước đẹp.,We visited a beautiful waterfall.,6
1411,欺负,qīfu,"Bắt nạt, ức hiếp",Bullying,他总是欺负弱小。,Tā zǒngshì qīfù ruòxiǎo.,Anh ấy luôn bắt nạt kẻ yếu.,He always bullies the weak.,6
1412,凄凉,qīliáng,"Thê lương, buồn bã","Sad, depressing",这个地方显得很凄凉。,Zhège dìfāng xiǎnde hěn qīliáng.,Nơi này trông rất hoang vắng.,This place looks so deserted.,6
1413,欺骗,qīpiàn,Lừa dối,Cheat,他被朋友欺骗了。,Tā bèi péngyǒu qīpiàn le.,Anh ấy bị bạn bè lừa gạt.,He was deceived by his friends.,6
1414,期望,qīwàng,"Kỳ vọng, mong đợi","Expectation, expectation",我对你的期望很高。,Wǒ duì nǐ de qīwàng hěn gāo.,Tôi có kỳ vọng rất cao về bạn.,I have very high expectations of you.,6
1415,期限,qīxiàn,Thời hạn,Duration,请在期限内完成任务。,Qǐng zài qīxiàn nèi wánchéng rènwù.,Hãy hoàn thành nhiệm vụ trong thời hạn.,Complete the task within the time limit.,6
1416,奇妙,qímiào,Kỳ diệu,Marvelous,这个地方有很多奇妙的事情。,Zhège dìfāng yǒu hěn duō qímiào de shìqíng.,Nơi này có rất nhiều điều kỳ diệu.,This place has so many wonders.,6
1417,旗袍,qípáo,Sườn xám,Cheongsam,她穿了一件漂亮的旗袍。,Tā chuān le yī jiàn piàoliang de qípáo.,Cô ấy mặc một chiếc sườn xám đẹp.,She wore a beautiful cheongsam.,6
1418,齐全,qíquán,"Đầy đủ, trọn vẹn","Full, complete",这个房间设备齐全。,Zhège fángjiān shèbèi qíquán.,Phòng này được trang bị đầy đủ.,This room is fully furnished.,6
1419,歧视,qíshì,Kỳ thị,Stigma,我们必须杜绝歧视。,Wǒmen bìxū dùjué qíshì.,Chúng ta phải loại trừ sự phân biệt đối xử.,We must eliminate discrimination.,6
1420,齐心协力,qíxīnxiélì,Đồng tâm hiệp lực,Unity of mind,大家齐心协力完成了任务。,Dàjiā qíxīnxiélì wánchéng le rènwù.,Mọi người đồng lòng hoàn thành nhiệm vụ.,Everyone agreed to complete the mission.,6
1421,旗帜,qízhì,"Cờ, biểu ngữ","Flags, banners",国旗在空中飘扬。,Guóqí zài kōngzhōng piāoyáng.,Quốc kỳ bay phấp phới trên không.,The national flag flutters in the air.,6
1422,起草,qǐcǎo,Khởi thảo,Elaborate,他负责起草这份文件。,Tā fùzé qǐcǎo zhè fèn wénjiàn.,Anh ấy chịu trách nhiệm soạn thảo văn bản này.,He is responsible for drafting this document.,6
1423,启程,qǐchéng,Khởi hành,Depart,我们明天启程去旅行。,Wǒmen míngtiān qǐchéng qù lǚxíng.,Ngày mai chúng tôi bắt đầu chuyến đi.,We start our trip tomorrow.,6
1424,起初,qǐchū,"Ban đầu, lúc đầu","At first, at first",起初他不太愿意。,Qǐchū tā bù tài yuànyì.,Lúc đầu anh ấy không muốn lắm.,At first he didn't really want to.,6
1425,起伏,qǐfú,"Nhấp nhô, thăng trầm",Ups and downs,这条路起伏不平。,Zhè tiáo lù qǐfú bù píng.,Con đường này gập ghềnh không bằng phẳng.,This road is bumpy and uneven.,6
1426,乞丐,qǐgài,"Ăn mày, ăn xin",Beggar,乞丐在街上乞讨。,Qǐgài zài jiē shàng qǐtǎo.,Người ăn xin xin ăn trên phố.,Beggars begging on the street.,6
1427,起哄,qǐhòng,"Gây rối, quấy phá","Disturbing, harassing",孩子们在起哄。,Háizi men zài qǐhòng.,Trẻ con đang làm ồn.,The children are making noise.,6
1428,起码,qǐmǎ,"Tối thiểu, ít nhất","Minimum, at least",起码你应该道歉。,Qǐmǎ nǐ yīnggāi dàoqiàn.,Ít nhất bạn nên xin lỗi.,At least you should apologize.,6
1429,启示,qǐshì,"Gợi ý, khơi dậy","Suggest, arouse",这件事给了我很大的启示。,Zhè jiàn shì gěi le wǒ hěn dà de qǐshì.,Việc này đã cho tôi một bài học lớn.,This taught me a great lesson.,6
1430,启事,qǐshì,Thông báo,Notification,公告栏上贴了一个启事。,Gōnggàolán shàng tiē le yī gè qǐshì.,Trên bảng thông báo có dán một thông báo.,There is a notice posted on the bulletin board.,6
1431,起义,qǐyì,Khởi nghĩa,Uprising,他们策划了一场起义。,Tāmen cèhuà le yī chǎng qǐyì.,Họ lên kế hoạch cho một cuộc khởi nghĩa.,They planned an uprising.,6
1432,岂有此理,qǐyǒucǐlǐ,Lẽ nào lại thế,How could that be?,这种行为真是岂有此理。,Zhè zhǒng xíngwéi zhēn shì qǐyǒucǐlǐ.,Hành vi này thật là vô lý.,This behavior is absurd.,6
1433,起源,qǐyuán,Nguồn gốc,Source,文化起源于生活。,Wénhuà qǐyuán yú shēnghuó.,Văn hóa bắt nguồn từ cuộc sống.,Culture comes from life.,6
1434,器材,qìcái,"Thiết bị, dụng cụ","Equipment, tools",运动器材已经准备好了。,Yùndòng qìcái yǐjīng zhǔnbèi hǎo le.,Thiết bị thể thao đã sẵn sàng.,Sports equipment is ready.,6
1435,气概,qìgài,Khí phách,Vigor,他有很大的气概。,Tā yǒu hěn dà de qìgài.,Anh ấy có khí chất rất mạnh mẽ.,He has a very strong temperament.,6
1436,气功,qìgōng,Khí công,Qigong,他在练气功。,Tā zài liàn qìgōng.,Anh ấy đang tập khí công.,He is practicing qigong.,6
1437,器官,qìguān,Cơ quan (cơ thể),Organ (body),人体的器官很复杂。,Réntǐ de qìguān hěn fùzá.,Cơ quan của cơ thể người rất phức tạp.,The organs of the human body are very complex.,6
1438,迄今为止,qìjīnwéizhǐ,Cho đến nay,So far,迄今为止，一切顺利。,"Qìjīn wéizhǐ, yīqiè shùnlì.","Cho đến nay, mọi thứ đều suôn sẻ.","So far, everything is going smoothly.",6
1439,气魄,qìpò,"Khí phách, dũng khí",Courage,他的气魄令人敬佩。,Tā de qìpò lìng rén jìngpèi.,Khí phách của anh ấy làm mọi người khâm phục.,His spirit makes everyone admire.,6
1440,气色,qìsè,Thần sắc,Aspect,他的气色很好。,Tā de qìsè hěn hǎo.,Sắc mặt của anh ấy rất tốt.,His complexion is very good.,6
1441,气势,qìshì,Khí thế,Momentum,他的气势很强。,Tā de qìshì hěn qiáng.,Khí thế của anh ấy rất mạnh.,His momentum is very strong.,6
1442,气味,qìwèi,"Mùi hương, mùi vị","Scent, taste",这花闻起来有特殊的气味。,Zhè huā wén qǐlái yǒu tèshū de qìwèi.,Hoa này có mùi đặc biệt khi ngửi.,This flower has a special smell when smelled.,6
1443,气象,qìxiàng,Khí tượng,Meteorology,气象预报说今天有雨。,Qìxiàng yùbào shuō jīntiān yǒu yǔ.,Dự báo thời tiết nói hôm nay có mưa.,The weather forecast says it will rain today.,6
1444,气压,qìyā,Áp suất không khí,Air pressure,我们要考虑气压变化。,Wǒmen yào kǎolǜ qìyā biànhuà.,Chúng ta phải cân nhắc sự thay đổi áp suất không khí.,We have to consider the change in air pressure.,6
1445,掐,qiā,"Véo, ngắt","Pinch, break",她掐了一朵花。,Tā qiā le yī duǒ huā.,Cô ấy ngắt một bông hoa.,She picked a flower.,6
1446,恰当,qiàdàng,"Thích hợp, hợp lý","Suitable, reasonable",这次会议的安排非常恰当。,Zhè cì huìyì de ānpái fēicháng qiàdàng.,Sắp xếp của cuộc họp lần này rất hợp lý.,The arrangement of this meeting is very reasonable.,6
1447,恰到好处,qiàdàohǎochù,"Vừa vặn, đúng chỗ","Fit, in place",他做事总是恰到好处。,Tā zuò shì zǒng shì qià dào hǎochù.,Anh ấy luôn làm mọi việc rất khéo léo.,He always does things very skillfully.,6
1448,恰巧,qiàqiǎo,"Đúng lúc, khéo léo","Right on time, right on target",恰巧我们有相同的兴趣爱好。,Qiàqiǎo wǒmen yǒu xiāngtóng de xìngqù àihào.,Tình cờ chúng ta có cùng sở thích.,We happen to have the same interests.,6
1449,洽谈,qiàtán,"Thảo luận, bàn bạc",Discuss,他们在洽谈合作事宜。,Tāmen zài qiàtán hézuò shìyí.,Họ đang thảo luận về hợp tác.,They are discussing cooperation.,6
1450,牵扯,qiānchě,"Dính líu, liên lụy",Involved,这个问题牵扯到很多人。,Zhège wèntí qiānchě dào hěn duō rén.,Vấn đề này liên quan đến nhiều người.,This issue concerns many people.,6
1451,签订,qiāndìng,Ký kết,Signed,他们签订了合同。,Tāmen qiāndìng le hétóng.,Họ đã ký hợp đồng.,They signed the contract.,6
1452,千方百计,qiānfāngbǎijì,Trăm phương ngàn kế,Hundreds of ways and thousands of plans,我们千方百计地解决问题。,Wǒmen qiānfāng-bǎijì de jiějué wèntí.,Chúng tôi cố gắng hết sức để giải quyết vấn đề.,We try our best to resolve the problem.,6
1453,迁就,qiānjiù,"Nhường nhịn, nhún nhường","yield, yield",他总是迁就别人。,Tā zǒng shì qiānjiù biérén.,Anh ấy luôn nhường nhịn người khác.,He always gives way to others.,6
1454,签署,qiānshǔ,"Ký, phê chuẩn","Sign, approve",双方签署了协议。,Shuāngfāng qiānshǔ le xiéyì.,Hai bên đã ký thỏa thuận.,The two sides signed the agreement.,6
1455,迁徙,qiānxǐ,"Di cư, chuyển chỗ ở","Migration, relocation",动物在季节变化时会迁徙。,Dòngwù zài jìjié biànhuà shí huì qiānxǐ.,Động vật sẽ di cư khi thay đổi mùa.,Animals will migrate when the seasons change.,6
1456,谦逊,qiānxùn,Khiêm tốn,Modest,他很谦逊，从不夸耀。,"Tā hěn qiānxùn, cóng bù kuāyào.","Anh ấy rất khiêm tốn, không bao giờ khoe khoang.","He is very humble, never boastful.",6
1457,牵制,qiānzhì,"Kìm chế, ràng buộc","Restrain, bind",她的发言起到了牵制作用。,Tā de fāyán qǐ dào le qiānzhì zuòyòng.,Phát biểu của cô ấy có tác dụng kiềm chế.,Her statement had a restraining effect.,6
1458,前景,qiánjǐng,Triển vọng,Prospects,公司的前景很光明。,Gōngsī de qiánjǐng hěn guāngmíng.,Triển vọng của công ty rất tươi sáng.,The company's prospects are bright.,6
1459,潜力,qiánlì,Tiềm năng,Potential,他有很大的潜力。,Tā yǒu hěn dà de qiánlì.,Anh ấy có tiềm năng lớn.,He has great potential.,6
1460,潜水,qiánshuǐ,Lặn,Dive,他喜欢潜水。,Tā xǐhuān qiánshuǐ.,Anh ấy thích lặn.,He likes diving.,6
1461,前提,qiántí,Tiền đề,Premise,这是合作的前提。,Zhè shì hézuò de qiántí.,Đây là điều kiện tiên quyết để hợp tác.,This is a prerequisite for cooperation.,6
1462,潜移默化,qiányímòhuà,Thay đổi ngầm,Implicit changes,这种影响是潜移默化的。,Zhè zhǒng yǐngxiǎng shì qiányímòhuà de.,Loại ảnh hưởng này là thầm lặng và từ từ.,This type of influence is silent and gradual.,6
1463,谴责,qiǎnzé,"Khiển trách, lên án","Blame, condemn",他们谴责了这种行为。,Tāmen qiǎnzé le zhè zhǒng xíngwéi.,Họ đã lên án hành động này.,They condemned this action.,6
1464,抢劫,qiǎngjié,Cướp bóc,Pillage,警察阻止了抢劫。,Jǐngchá zǔzhǐ le qiǎngjié.,Cảnh sát đã ngăn chặn vụ cướp.,The police prevented the robbery.,6
1465,强制,qiángzhì,"Ép buộc, cưỡng chế","Force, coercion",法律强制执行。,Fǎlǜ qiángzhì zhíxíng.,Luật pháp được thi hành bắt buộc.,The law is enforced.,6
1466,抢救,qiǎngjiù,"Cứu trợ, cấp cứu","Relief, emergency",他因心脏病被紧急抢救。,Tā yīn xīnzàngbìng bèi jǐnjí qiǎngjiù.,Anh ấy được cấp cứu khẩn cấp vì bệnh tim.,He was rushed to the emergency room for a heart attack.,6
1467,强迫,qiǎngpò,"Ép buộc, cưỡng ép","Forced, coerced",他被迫放弃了梦想。,Tā bèi pò fàngqì le mèngxiǎng.,Anh ấy buộc phải từ bỏ ước mơ.,He was forced to give up his dream.,6
1468,桥梁,qiáoliáng,"Cầu, cầu nối","Bridge, bridge",这座桥梁连接了两地。,Zhè zuò qiáoliáng liánjiē le liǎngdì.,Cây cầu này nối liền hai nơi.,This bridge connects two places.,6
1469,翘,qiào,"Vểnh, nhô lên","Upward, upward",她的睫毛很翘。,Tā de jiémáo hěn qiào.,Lông mi của cô ấy rất cong.,Her eyelashes are very curly.,6
1470,锲而不舍,qiè'érbùshě,Kiên trì không bỏ cuộc,Persistence and never give up,我们要锲而不舍地追求梦想。,Wǒmen yào qiè'érbùshě de zhuīqiú mèngxiǎng.,Chúng ta phải kiên trì theo đuổi ước mơ.,We must persevere in pursuing our dreams.,6
1471,切实,qièshí,"Thiết thực, cụ thể","Practical, specific",我们要采取切实的措施。,Wǒmen yào cǎiqǔ qièshí de cuòshī.,Chúng ta phải thực hiện các biện pháp thiết thực.,We must take practical measures.,6
1472,侵犯,qīnfàn,"Xâm phạm, xâm lấn","Invasion, encroachment",侵犯他人的权利是不对的。,Qīnfàn tārén de quánlì shì bù duì de.,Xâm phạm quyền lợi của người khác là sai trái.,Infringing on the rights of others is wrong.,6
1473,钦佩,qīnpèi,"Kính phục, thán phục","Admire, admire",我钦佩他的勇气。,Wǒ qīnpèi tā de yǒngqì.,Tôi khâm phục sự dũng cảm của anh ấy.,I admire his courage.,6
1474,亲热,qīnrè,"Thân mật, nồng nhiệt","Intimate, warm",他们关系很亲热。,Tāmen guānxì hěn qīnrè.,Họ có mối quan hệ rất thân thiết.,They have a very close relationship.,6
1475,亲身,qīnshēn,"Tự mình, bản thân",By myself,他亲身经历了这件事。,Tā qīnshēn jīnglì le zhè jiàn shì.,Anh ấy đã trực tiếp trải qua chuyện này.,He has experienced this firsthand.,6
1476,勤俭,qínjiǎn,Cần kiệm,Economy,我们要勤俭节约。,Wǒmen yào qínjiǎn jiéyuē.,Chúng ta phải cần kiệm tiết kiệm.,We must be frugal.,6
1477,勤恳,qínkěn,"Chăm chỉ, cần cù","Hardworking, diligent",她做事非常勤恳。,Tā zuò shì fēicháng qínkěn.,Cô ấy làm việc rất chăm chỉ.,She works very hard.,6
1478,氢,qīng,"Khinh, khí hiếm","Light, rare gas",氢是一种轻气体。,Qīng shì yī zhǒng qīng qìtǐ.,Hydro là một loại khí nhẹ.,Hydrogen is a light gas.,6
1479,清澈,qīngchè,Trong suốt,Transparent,湖水清澈见底。,Húshuǐ qīngchè jiàn dǐ.,Nước hồ trong veo đến đáy.,The lake water is crystal clear to the bottom.,6
1480,清晨,qīngchén,Sáng sớm,Morning,清晨的空气很新鲜。,Qīngchén de kōngqì hěn xīnxiān.,Không khí buổi sáng sớm rất trong lành.,The early morning air is very fresh.,6
1481,清除,qīngchú,"Dọn sạch, loại bỏ","Clean up, remove",我们需要清除杂草。,Wǒmen xūyào qīngchú zácǎo.,Chúng ta cần làm sạch cỏ dại.,We need to clear the weeds.,6
1482,轻而易举,qīng'éryìjǔ,"Dễ dàng, dễ như trở bàn tay","Easy, as easy as pie",这个任务轻而易举。,Zhège rènwù qīng'éryìjǔ.,Nhiệm vụ này dễ dàng.,This task is easy.,6
1483,清洁,qīngjié,"Sạch sẽ, vệ sinh","Clean, hygienic",房间需要清洁。,Fángjiān xūyào qīngjié.,Căn phòng cần được dọn dẹp.,The room needs to be cleaned.,6
1484,清理,qīnglǐ,"Dọn dẹp, sắp xếp","Clean up, organize",请清理桌子上的书。,Qǐng qīnglǐ zhuōzi shàng de shū.,Hãy dọn sách trên bàn.,Clear the books on the table.,6
1485,倾听,qīngtīng,Lắng nghe,Listen,他静静地倾听大家的意见。,Tā jìngjìng de qīngtīng dàjiā de yìjiàn.,Anh ấy lắng nghe ý kiến của mọi người một cách yên lặng.,He listened to everyone's opinions quietly.,6
1486,清晰,qīngxī,"Rõ ràng, rõ nét","clear, clear",图片非常清晰。,Túpiàn fēicháng qīngxī.,Hình ảnh rất rõ ràng.,The picture is very clear.,6
1487,倾向,qīngxiàng,"Khuynh hướng, xu hướng","Trend, tendency",他倾向于支持这个提案。,Tā qīngxiàng yú zhīchí zhège tí'àn.,Anh ấy có xu hướng ủng hộ đề xuất này.,He tends to support this proposal.,6
1488,倾斜,qīngxié,"Nghiêng, lệch","Tilt, skew",这栋房子有点倾斜。,Zhè dòng fángzi yǒudiǎn qīngxié.,Ngôi nhà này hơi nghiêng.,This house is slightly tilted.,6
1489,清醒,qīngxǐng,"Tỉnh táo, sáng suốt","Sober, clear-headed",他终于清醒了过来。,Tā zhōngyú qīngxǐng le guòlái.,Anh ấy cuối cùng đã tỉnh lại.,He finally woke up.,6
1490,清真,qīngzhēn,"Hồi giáo, chính giáo","Islam, orthodox",他是一位清真厨师。,Tā shì yī wèi qīngzhēn chúshī.,Anh ấy là một đầu bếp Halal.,He is a Halal chef.,6
1491,情报,qíngbào,"Tình báo, thông tin","Intelligence, information",情报显示敌人正在接近。,Qíngbào xiǎnshì dírén zhèngzài jiējìn.,Thông tin tình báo cho thấy kẻ địch đang tiến gần.,Intelligence indicates that the enemy is approaching.,6
1492,情节,qíngjié,"Tình tiết, chi tiết",Details,这本小说的情节很紧张。,Zhè běn xiǎoshuō de qíngjié hěn jǐnzhāng.,Cốt truyện của cuốn tiểu thuyết này rất căng thẳng.,The plot of this novel is very tense.,6
1493,晴朗,qínglǎng,"Trời quang, trời trong",clear sky,天气晴朗，非常适合出游。,"Tiānqì qínglǎng, fēicháng shìhé chūyóu.","Thời tiết trong lành, rất thích hợp để đi chơi.","The weather is nice, perfect for going out.",6
1494,情理,qínglǐ,"Lý lẽ, đạo lý","Reason, morality",这种行为不符合情理。,Zhè zhǒng xíngwéi bù fúhé qínglǐ.,Hành vi này không hợp lý.,This behavior is unreasonable.,6
1495,情形,qíngxíng,"Tình hình, hoàn cảnh","Situation, circumstance",目前的情形非常复杂。,Mùqián de qíngxíng fēicháng fùzá.,Tình hình hiện tại rất phức tạp.,The current situation is very complicated.,6
1496,请柬,qǐngjiǎn,Thiệp mời,Invitation,我们收到了你的请柬。,Wǒmen shōudào le nǐ de qǐngjiǎn.,Chúng tôi đã nhận được thiệp mời của bạn.,We have received your invitation.,6
1497,请教,qǐngjiào,"Thỉnh giáo, xin ý kiến",Ask for advice,请教我如何使用这个软件。,Qǐngjiào wǒ rúhé shǐyòng zhège ruǎnjiàn.,Hãy chỉ tôi cách sử dụng phần mềm này.,Please show me how to use this software.,6
1498,请示,qǐngshì,"Xin chỉ thị, xin ý kiến","Please give instructions, please give opinions",他向上级请示了这件事。,Tā xiàng shàngjí qǐngshì le zhè jiàn shì.,Anh ấy đã xin phép cấp trên về việc này.,He asked his superiors for permission for this.,6
1499,请帖,qǐngtiě,Thiệp mời,Invitation,我们收到了结婚请帖。,Wǒmen shōudào le jiéhūn qǐngtiě.,Chúng tôi đã nhận được thiệp cưới.,We received the wedding invitation.,6
1500,丘陵,qiūlíng,"Đồi núi, đồi cỏ","hills, grassy hills",丘陵地区非常适合种植葡萄。,Qiūlíng dìqū fēicháng shìhé zhòngzhí pútáo.,Khu vực đồi núi rất thích hợp trồng nho.,The mountainous area is very suitable for growing grapes.,6
1501,区分,qūfēn,"Phân biệt, chia tách","Distinguish, separate",我们需要区分事实和观点。,Wǒmen xūyào qūfēn shìshí hé guāndiǎn.,Chúng ta cần phân biệt giữa sự thật và quan điểm.,We need to distinguish between facts and opinions.,6
1502,屈服,qūfú,"Khuất phục, đầu hàng",Surrender,面对强大的对手，他不得不屈服。,"Miànduì qiángdà de duìshǒu, tā bùdé bù qūfú.","Đối mặt với đối thủ mạnh, anh ta buộc phải khuất phục.","Faced with a strong opponent, he was forced to submit.",6
1503,区域,qūyù,"Khu vực, vùng","Area, region",这个区域禁止吸烟。,Zhège qūyù jìnzhǐ xīyān.,Khu vực này cấm hút thuốc.,This area is non-smoking.,6
1504,曲折,qūzhé,"Quanh co, khúc khuỷu","Winding, tortuous",这条路非常曲折。,Zhè tiáo lù fēicháng qūzhé.,Con đường này rất quanh co.,This road is very winding.,6
1505,驱逐,qūzhú,"Trục xuất, xua đuổi","Exile, banish",他被驱逐出境了。,Tā bèi qūzhú chūjìng le.,Anh ấy đã bị trục xuất ra khỏi đất nước.,He was expelled from the country.,6
1506,渠道,qúdào,"Kênh rạch, kênh","canal, channel",他们正在挖掘新的渠道。,Tāmen zhèngzài wājué xīn de qúdào.,Họ đang đào kênh mới.,They are digging a new canal.,6
1507,取缔,qǔdì,"Cấm đoán, cấm chỉ","Prohibition, prohibition",政府取缔了非法活动。,Zhèngfǔ qǔdì le fēifǎ huódòng.,Chính phủ đã cấm các hoạt động bất hợp pháp.,The government has banned illegal activities.,6
1508,曲子,qǔzi,"Bài hát, bản nhạc","Song, music",这首曲子很动听。,Zhè shǒu qǔzi hěn dòngtīng.,Bài hát này rất hay.,This song is great.,6
1509,趣味,qùwèi,"Hứng thú, thú vị","interesting, fun",他对生活充满了趣味。,Tā duì shēnghuó chōngmǎn le qùwèi.,Anh ấy rất thú vị trong cuộc sống.,He is very interesting in life.,6
1510,圈套,quāntào,"Cái bẫy, cạm bẫy","trap, pitfall",他掉进了对手设的圈套。,Tā diào jìn le duìshǒu shè de quāntào.,Anh ấy đã rơi vào bẫy của đối thủ.,He fell into his opponent's trap.,6
1511,权衡,quánhéng,"Cân nhắc, xem xét","Consider, consider",我们需要权衡利弊。,Wǒmen xūyào quánhéng lìbì.,Chúng ta cần cân nhắc lợi và hại.,We need to weigh the pros and cons.,6
1512,全局,quánjú,Toàn bộ cục diện,The whole picture,公司的全局策略非常成功。,Gōngsī de quánjú cèlüè fēicháng chénggōng.,Chiến lược tổng thể của công ty rất thành công.,The company's overall strategy is very successful.,6
1513,全力以赴,quánlìyǐfù,"Dốc toàn lực, toàn tâm toàn ý",Go all out,我们将全力以赴完成任务。,Wǒmen jiāng quánlì yǐ fù wánchéng rènwù.,Chúng ta sẽ dốc hết sức hoàn thành nhiệm vụ.,We will do our best to complete the mission.,6
1514,拳头,quántou,"Nắm đấm, quyền lực","Fist, power",他的拳头很有力。,Tā de quántóu hěn yǒulì.,Nắm đấm của anh ấy rất mạnh.,His fists are very strong.,6
1515,权威,quánwēi,"Quyền uy, uy tín","Authority, prestige",他是一位权威的学者。,Tā shì yī wèi quánwēi de xuézhě.,Anh ấy là một học giả có uy tín.,He is a prestigious scholar.,6
1516,权益,quányì,Quyền lợi và lợi ích,Rights and benefits,我们必须维护自己的权益。,Wǒmen bìxū wéihù zìjǐ de quányì.,Chúng ta phải bảo vệ quyền lợi của mình.,We must protect our rights.,6
1517,犬,quǎn,"Chó, cẩu","Dog, crane",他养了一只可爱的犬。,Tā yǎng le yī zhǐ kě'ài de quǎn.,Anh ấy nuôi một con chó dễ thương.,He has a cute dog.,6
1518,缺口,quēkǒu,"Chỗ hổng, khe hở","Gap, gap",墙上有一个缺口。,Qiáng shàng yǒu yī gè quēkǒu.,Trên tường có một lỗ hổng.,There is a hole in the wall.,6
1519,缺席,quēxí,"Vắng mặt, không tham dự","Absent, not attending",他因病缺席了会议。,Tā yīn bìng quēxí le huìyì.,Anh ấy vắng mặt trong cuộc họp vì bệnh.,He was absent from the meeting due to illness.,6
1520,缺陷,quēxiàn,"Khiếm khuyết, khuyết điểm","defect, defect",这个机器有一些缺陷。,Zhège jīqì yǒu yīxiē quēxiàn.,Cái máy này có một số khuyết điểm.,This machine has some disadvantages.,6
1521,瘸,qué,"Khập khiễng, què",lame,他摔倒了，腿瘸了。,"Tā shuāi dǎo le, tuǐ quē le.","Anh ấy bị ngã, và chân bị què.","He fell, and his leg was crippled.",6
1522,确保,quèbǎo,"Đảm bảo, bảo đảm","Guarantee, guarantee",我们必须确保安全。,Wǒmen bìxū quèbǎo ānquán.,Chúng ta phải đảm bảo an toàn.,We must ensure safety.,6
1523,确立,quèlì,"Xác lập, thiết lập","Establish, set up",我们确立了新的目标。,Wǒmen quèlì le xīn de mùbiāo.,Chúng ta đã thiết lập mục tiêu mới.,We have set new goals.,6
1524,确切,quèqiè,"Chính xác, xác thực","Accurate, authentic",他的话很确切。,Tā de huà hěn quèqiè.,Lời của anh ấy rất chính xác.,His words are so accurate.,6
1525,确信,quèxìn,"Tin chắc, tin tưởng","Believe, trust",我确信他会成功。,Wǒ quèxìn tā huì chénggōng.,Tôi tin chắc rằng anh ấy sẽ thành công.,I am sure he will succeed.,6
1526,群众,qúnzhòng,"Quần chúng, nhân dân","masses, people",群众对这个政策表示支持。,Qúnzhòng duì zhège zhèngcè biǎoshì zhīchí.,Quần chúng ủng hộ chính sách này.,The masses support this policy.,6
1527,染,rǎn,"Nhuộm, tô điểm","Dyeing, decorating",他染上了坏习惯。,Tā rǎn shàng le huài xíguàn.,Anh ấy mắc phải thói quen xấu.,He has a bad habit.,6
1528,让步,ràngbù,"Nhượng bộ, lùi bước","Concession, retreat",他最终做出了让步。,Tā zuìzhōng zuò chū le ràngbù.,"Cuối cùng, anh ấy đã nhượng bộ.","Finally, he gave in.",6
1529,饶恕,ráoshù,"Tha thứ, tha lỗi","Forgive, forgive",请你饶恕我的错误。,Qǐng nǐ ráoshù wǒ de cuòwù.,Xin hãy tha thứ cho lỗi lầm của tôi.,Please forgive my mistakes.,6
